EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
hang out di gandaria city explore berbagai toko kece dan makan enak di food court penuh pilihan dari fashion sampai kuliner,"minta maaf itu tanda kedewasaan. ayo, jangan malu-malu, minta maaf jika memang diperlukan","to do list ini enaknya dibuat perhari, perminggu, atau perbulan ya?","bisa gak sih langsung lulus ptn aja, gue capek overthinking mulu","pertama kali dateng ke pameran seni, bagus cuii... cuman harus baca keterangannya biar pesan pembuatnya sampai","['hang', 'out', 'di', 'gandaria', 'city', 'explore', 'berbagai', 'toko', 'kece', 'dan', 'makan', 'enak', 'di', 'food', 'court', 'penuh', 'pilihan', 'dari', 'fashion', 'sampai', 'kuliner']","['hang', 'out', 'gandaria', 'city', 'explore', 'toko', 'kece', 'makan', 'enak', 'food', 'court', 'penuh', 'pilihan', 'fashion', 'kuliner']","['hang', 'out', 'di', 'gandaria', 'city', 'explore', 'berbagai', 'toko', 'kece', 'dan', 'makan', 'enak', 'di', 'food', 'court', 'penuh', 'pilihan', 'dari', 'fashion', 'sampai', 'kuliner']"
hidup tuh indahhhhh banget kalo punya banyak temen,"menangislah sampai merasa baik, crying is a human thing.","kunci usaha sukses, bikin perencanaan dan strategi yang bener bener matang, komitmen, kerja keras, dan pantang menyerah..","duit sejuta jaman sekarang kayak gak ada harga dirinya, bikin depresi aja biaya hidup makin lama makin mahal.","kepo dong hobi temen temen umur 30+ apa aja nih, mau cari inspirasi gue.","['hidup', 'tuh', 'indahhhhh', 'banget', 'kalo', 'punya', 'banyak', 'temen']","['hidup', 'indahhhhh', 'banget', 'temen']","['hidup', 'tuh', 'indahhhhh', 'banget', 'kalau', 'punya', 'banyak', 'temen']"
gue lagi ngobrol panjang sama pacar cerita curhat dan berbagi rencana masa depan setiap detik bersama emang berharga banget,"tadi ketewain soalnya salim ke senior magang pas pulang, katanya tos aja wkwkwkwk",gue rajin banget ya ngambil jadwal jaga asprak di jam set 7 pagi,gue sadar gue udh ditahap stress berat tapi harus haha aja karena gabisa ngapa-ngapain,apa yang terjadi setelah kita mati? mungkinkah ada kehidupan lain?,"['gue', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']","['gue', 'ngobrol', 'pacar', 'cerita', 'curhat', 'berbagi', 'rencana', 'detik', 'emang', 'berharga', 'banget']","['saya', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']"
gue suka banget jalanjalan ramerame sama pacar dan tementemen semua jadi lebih seru,"temen ku tiap 3 bulan sekali pasti donor darah, keren banget ga sih...","orang-orang yang main tiap hari padahal tugasnya belum selesai tuh kok bisa ya, aku mau main pas tugas masih ada tuh rasanya gak bisa",di telpon secara mendadak tuh bikin panik dan bikin kesel sumpah,"habis nonton anime dan penasaran sama kehidupan elf, kira-kira kalau sekarang masih ada elf gimana ya?","['gue', 'suka', 'banget', 'jalanjalan', 'ramerame', 'sama', 'pacar', 'dan', 'tementemen', 'semua', 'jadi', 'lebih', 'seru']","['gue', 'suka', 'banget', 'jalanjalan', 'ramerame', 'pacar', 'tementemen', 'seru']","['saya', 'suka', 'banget', 'jalanjalan', 'ramerame', 'sama', 'pacar', 'dan', 'tementemen', 'semua', 'jadi', 'lebih', 'seru']"
support system terbaik adalah punya temen yang banyak,"yang sering merasa insecure, ingat ayat al-qur'an, ""sungguh, kami telah menciptakan manusia dalam bentuk yang sebaik-baiknya"".","akhir akhir ini sibuk banget deh, banyak yang harus diselesaikan tepat waktu.","tiap hari bangun dengan rasa kecewa dihajar kenyataan yang gak seindah harapan, terpaksa menghadapi realita. jadi bikin depresi gak, sih.",lebih suka jalani aja dulu toh kita gak tahu apa yang bakal terjadi..,"['support', 'system', 'terbaik', 'adalah', 'punya', 'temen', 'yang', 'banyak']","['support', 'system', 'terbaik', 'temen']","['support', 'system', 'terbaik', 'adalah', 'punya', 'temen', 'yang', 'banyak']"
rumah gue hari ini rameee banget karena lagi ada acara halal bihalal lebaran buat keluarga besar dari nyokap gue seneng banget ketemu banyak orang abru banyak sepupu juga yang udah lama gue ga ketemu,gue dari dulu seneng banget kalo diajakin acara acara baksos karena dengan ikutan kegiatan kegiatan itu gue bisa bantu orang orang lain secara langsung.,"gue orangnya emang dari dulu udah kebiasaan detail banget, tiap kerjain sesuatu pasti gue perhatiin bener bener setiap detailnya.","duh gimana dong hp gue ketinggalan dirumah, gue gak bisa hubungin orang orang, siapapun tolongin gue plis gue udah panik banget ini sendirian doang di warnet!",dari kecil orang tua gue selalu sabar ngehadapin dan ngebantu gue supaya bisa mengasah kreativitas gue makanya sekarang gue bisa jadi orang yang terbilang kreatif di bidang pekerjaan gue.,"['rumah', 'gue', 'hari', 'ini', 'rameee', 'banget', 'karena', 'lagi', 'ada', 'acara', 'halal', 'bihalal', 'lebaran', 'buat', 'keluarga', 'besar', 'dari', 'nyokap', 'gue', 'seneng', 'banget', 'ketemu', 'banyak', 'orang', 'abru', 'banyak', 'sepupu', 'juga', 'yang', 'udah', 'lama', 'gue', 'ga', 'ketemu']","['rumah', 'gue', 'rameee', 'banget', 'acara', 'halal', 'bihalal', 'lebaran', 'keluarga', 'nyokap', 'gue', 'seneng', 'banget', 'ketemu', 'orang', 'abru', 'sepupu', 'udah', 'gue', 'ketemu']","['rumah', 'saya', 'hari', 'ini', 'rameee', 'banget', 'karena', 'lagi', 'ada', 'acara', 'halal', 'bihalal', 'lebaran', 'buat', 'keluarga', 'besar', 'dari', 'nyokap', 'saya', 'seneng', 'banget', 'ketemu', 'banyak', 'orang', 'abru', 'banyak', 'sepupu', 'juga', 'yang', 'sudah', 'lama', 'saya', 'tidak', 'ketemu']"
mengisi waktu libur dengan jalanjalan ke mall,"gaes, kalian kalo liat pengemis di jalan kadang kasian ga si?, pliss bantu mereka se mampu kalian aja gaes","karir itu perjalanan panjang, butuh kerja keras juga gaes. tetap semangat yaa dan jangan pernah menyerah","hidup gue kayanya banyak bgt bahayanya, tiap langkah yang gue ambil selalu aja ada masalah yang bikin gue tambah stress",gue kadang suka protes kalo misal ada hal yang dirasa menurut gue kurang sesuai. suara kita itu bisa jadi perubahan kalau disuarakan dengan tepat. jadi jangan takut buat bersuara,"['mengisi', 'waktu', 'libur', 'dengan', 'jalanjalan', 'ke', 'mall']","['mengisi', 'libur', 'jalanjalan', 'mall']","['mengisi', 'waktu', 'libur', 'dengan', 'jalanjalan', 'ke', 'mall']"
hang out di plaza senayan hari ini nyari spot cozy di caf buat nongkrong kenalan sama barista yang ramah bikin suasana makin asik,"jangan takut untuk jujur!, orang jujur disayang tuhan kok…",mau bantu temen buat bikin timeline himpunan biar orang-orang yang ikut himpunan gak ngerasa kalau waktunya terbuang sia-sia,kapan ya bisa hidup bebas buat milih suatu hal yang gua suka?,besok hari lebih bijak lagi sih dalam menentukan pilihan!!,"['hang', 'out', 'di', 'plaza', 'senayan', 'hari', 'ini', 'nyari', 'spot', 'cozy', 'di', 'caf', 'buat', 'nongkrong', 'kenalan', 'sama', 'barista', 'yang', 'ramah', 'bikin', 'suasana', 'makin', 'asik']","['hang', 'out', 'plaza', 'senayan', 'nyari', 'spot', 'cozy', 'caf', 'nongkrong', 'kenalan', 'barista', 'ramah', 'suasana', 'asik']","['hang', 'out', 'di', 'plaza', 'senayan', 'hari', 'ini', 'nyari', 'spot', 'cozy', 'di', 'caf', 'buat', 'nongkrong', 'kenalan', 'sama', 'barista', 'yang', 'ramah', 'bikin', 'suasana', 'makin', 'asik']"
gue orangnya gampang kenal sama orang gue suka banget soalnya ngobrol sama orang orang yang baru kenalan dan baru gue kenal di suatu tempat misalnya,"gue paling seneng bantuin temen temen gue kerjain tugas apalagi kalo ada tugas kelompok, gue paling semangat deh, gue seneng bisa saling bantu sama temen temen gue.","gue punya plan-board kayak papan yang gue bikin sendiri, isinya gue tulis rencana rencana gue sehari hari, detail detailnya, waktu waktunya, dan lain sebagainya.","takut ah kalo harus tinggal di kota atau daerah yang jauh dari ortu, mending gue cari kerja di sini yang deket deket rumah aja.",gue selalu diajarin dan dibiasain untuk bisa fokus dan juga ngebebasin imajinasi dan kreativitas gue setiap gue dapat tugas dan kerjaan apapun.,"['gue', 'orangnya', 'gampang', 'kenal', 'sama', 'orang', 'gue', 'suka', 'banget', 'soalnya', 'ngobrol', 'sama', 'orang', 'orang', 'yang', 'baru', 'kenalan', 'dan', 'baru', 'gue', 'kenal', 'di', 'suatu', 'tempat', 'misalnya']","['gue', 'orangnya', 'gampang', 'kenal', 'orang', 'gue', 'suka', 'banget', 'ngobrol', 'orang', 'orang', 'kenalan', 'gue', 'kenal']","['saya', 'orangnya', 'gampang', 'kenal', 'sama', 'orang', 'saya', 'suka', 'banget', 'soalnya', 'ngobrol', 'sama', 'orang', 'orang', 'yang', 'baru', 'kenalan', 'dan', 'baru', 'saya', 'kenal', 'di', 'suatu', 'tempat', 'misalnya']"
habis pulang nonton konser rame banget tadi ketemu tementemen juga di konser asik banget deh jadi pengin nonton konser lagi infokan konser yang bakal digelar gaes,"ya allah, murahkan rejeki orang yang sedang membaca tweet ini, lipatgandakan segala rezekinya, kurniakan rezeki yang berkah dari pelbagai sudut, mewahkan dengan rezeki yang baik.","planning gue hari ini: bangun pagi, olahraga, sarapan, terus langsung berangkat kerja, semangatt",disakiti berkali-kali sama orang yang gue sayang dan gue percaya rasanya cape banget. gue sampe gabisa move on dari apa yang pernah gue alamin,"menurut gue yg dikata seorang seniman, klimaks dari sebuah karya senin itu adalah ketika penonton bisa terhubung dengan ide dan emosi sang seniman","['habis', 'pulang', 'nonton', 'konser', 'rame', 'banget', 'tadi', 'ketemu', 'tementemen', 'juga', 'di', 'konser', 'asik', 'banget', 'deh', 'jadi', 'pengin', 'nonton', 'konser', 'lagi', 'infokan', 'konser', 'yang', 'bakal', 'digelar', 'gaes']","['habis', 'pulang', 'nonton', 'konser', 'rame', 'banget', 'ketemu', 'tementemen', 'konser', 'asik', 'banget', 'deh', 'pengin', 'nonton', 'konser', 'infokan', 'konser', 'digelar', 'gaes']","['habis', 'pulang', 'nonton', 'konser', 'rame', 'banget', 'tadi', 'ketemu', 'tementemen', 'juga', 'di', 'konser', 'asik', 'banget', 'deh', 'jadi', 'pengin', 'nonton', 'konser', 'lagi', 'infokan', 'konser', 'yang', 'bakal', 'digelar', 'gaes']"
