,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized,tokens_stemmed
0,baru saja kenalan sama orang baru di kafe dan seru banget intinya ngobrolin halhal random itu selalu seru,tadi ketemu kucing yang kuruss banget... kasian banget :(,"ngeri banget sih pergaulan jaman sekarang, untung gue gak gampang kebawa arus",kadang tuh mikir kok bisa ada manusia sehampir sempurna itu. sedangkan gue bahkan gak tau passion gue dimana.,"tolong diubah mindset kalau cuman laki-laki aja yang boleh sekolah tinggi-tinggi, perempuan juga berhak buat berpendidikan tinggi terlebih lagi kita hidup buat membahagiakan diri masing-masing!","['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']","['kenalan', 'orang', 'kafe', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'seru']","['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']","['baru', 'saja', 'kenal', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'inti', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']"
1,gak bisa diem di rumah nih pengen banget jalanjalan sore ini ada saran tempat keren ga guys,semoga kamu lolos seleksi beasiswa yaa,"sejak kelas 12, aku harus hidup sehat demi kelancaran persiapan snbt sampe hari pertama kuliah di undip","gue bisa apa ya, kalo gue bisa sesuatu pasti hidup gue seru dan gak bakalan ngebosenin.","sesama rakyat itu coba merangkul dengan diskusi intelektual dan emosional, karena kita satu tim.","['gak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'pengen', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'ga', 'guys']","['diem', 'rumah', 'pengen', 'banget', 'jalanjalan', 'sore', 'saran', 'keren', 'guys']","['tidak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'pengen', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'tidak', 'guys']","['tidak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'ken', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'tidak', 'guys']"
2,ngecash energi dengan ketemu orang kantor nih seru bangeeett,main sama anak-anak di sekolah bahari termasuk healing lohh!,hari ini lulus magang mbkm kayak bersyukur banget banget alhamdulillah cuman ya sehabis ini bakal banyak tugas yang harus diselesaikan dan dijalankan dengan baik but kalau serius pasti bisa jalanin semuanya,"ada loker yang aku pengenin banget dan aku lagi daftar, tapi aku takut bgt gagal, karena keseringan gagal",menurut gue pendidikan itu untuk mencerdaskan anak bangsa bukan untuk memiskinkan anak bangsa. kenapa sekarang malah jadi hilang ya tujuan dari pendidikan itu?,"['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']","['ngecash', 'energi', 'ketemu', 'orang', 'kantor', 'seru', 'bangeeett']","['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']","['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']"
3,hari ini sibuk banget tapi seneng karena bisa ketemu banyak orang dan bertukar ide teamwork makes the dream work right,"tadi habis bantuin kakek-kakek nyebarang, kenapa sih orang-orang susah banget melanin kendaraan!?","pengen cepet-cepet kuliah lagi, kembali ke rutinitas awal lagi","gue takut gagal sih ambil keputusan yag sulit gini, tapi gue lebih takut lagi kalo ga nyoba, gimana ya?","padahal tiap org punya cara tersendiri buat meng apresiasi dirinya, semua orang berhak bahagia atas pencapaiannya kok","['hari', 'ini', 'sibuk', 'banget', 'tapi', 'seneng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['sibuk', 'banget', 'seneng', 'ketemu', 'orang', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['hari', 'ini', 'sibuk', 'banget', 'tetapi', 'seneng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['hari', 'ini', 'sibuk', 'banget', 'tetapi', 'neng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'tukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']"
4,pesta di rumah tetangga bikin hari jadi gaul banget semua ikutan shopping dan ceria abis,ribet banget deh orang-orang debatin 01 sama 02... saling menghargai pilihan orang apa susahnya sih?,"besok mau ngapain ya, apa aku harus buat to do list.. mumpung libur mau explore banyak hal.","sebenarnya gue juga capek tapi mau gimana lagi, hidup ini terus berjalan. mau bunuh diri tapi dosa","gue udah coba, travelling, jalanin hobi baru, kulineran, fokus ngegym, kerja rodi bagai kuda. emang anaknya suka eksplor aja","['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikutan', 'shopping', 'dan', 'ceria', 'abis']","['pesta', 'rumah', 'tetangga', 'gaul', 'banget', 'ikutan', 'shopping', 'ceria', 'abis']","['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikutan', 'shopping', 'dan', 'ceria', 'abis']","['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikut', 'shopping', 'dan', 'ceria', 'abis']"
5,ulangtahun adik hari ini seru banget pesta di rumah dengan temanteman makan tertawa dan pelukpelukan,semoga hari ini semua berjalan dengan lancar yaa sayang!,"kerja emang capek, tapi harus tetap semangat hmm yuk semangat team mencari cuaaaan dan semoga yang belum dapat kerjaan bisa langsung dapat kerjaan yaa.","kecewa sama respon orang-orang yang gak sesuai sama ekspektasi gue, gak ada yang bisa ngertiin gue sama sekali","lo pada yg kalo ngambek suka silent treatment, better lo introspeksi dulu dah. childish banget, semua tuh perlu komunikasi dulu gitu loh.","['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']","['ulangtahun', 'adik', 'seru', 'banget', 'pesta', 'rumah', 'temanteman', 'makan', 'tertawa', 'pelukpelukan']","['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']","['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']"
6,hari ini gue berasa gaul abis dah hang out di cafe keren belanja hobi favorit dan cerita curhat sama temanteman bikin hidup seru bangeettt,"sendal gue ilang lagi broo pas sholat jumat. tapi kenapa ilang sebelah dah, elu gimana bang nanti makenya wkwkkw",ternyata produktif itu lebih asik kalau kita tau apa yang kita mau.,"duh bisa gak sih gue stop dengan semua rasa panik, gak enak banget gelisah sendiri","menurutku merayakan adalah hak,tidak menyukai perayaan juga hak. setiap hak akan akan selalu dibatasi hak-hak lainnya.","['hari', 'ini', 'gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']","['gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'cerita', 'curhat', 'temanteman', 'hidup', 'seru', 'bangeettt']","['hari', 'ini', 'saya', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']","['hari', 'ini', 'saya', 'asa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']"
7,hari ini gue kenalan sama teman baru di perayaan alumni cerita tentang hobi favorit dan peluk akrab keren,"udah mau lebaran guyss, jangan lupa zakat yaaa!",hari ini dapet kerjaan yang extra karena udah dikasih kepercayaan lebih sama atasan,"tiap malem panasnya naik mulu, gue panik banget h-2 ujian gimana nasib gue","kalo mimpinya gede, usahanya harus gede juga, doa nya juga harus dikencengin. jangan cuma rebahan aja, intropeksi diri lah minimal.","['hari', 'ini', 'gue', 'kenalan', 'sama', 'teman', 'baru', 'di', 'perayaan', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']","['gue', 'kenalan', 'teman', 'perayaan', 'alumni', 'cerita', 'hobi', 'favorit', 'peluk', 'akrab', 'keren']","['hari', 'ini', 'saya', 'kenalan', 'sama', 'teman', 'baru', 'di', 'perayaan', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']","['hari', 'ini', 'saya', 'kenal', 'sama', 'teman', 'baru', 'di', 'raya', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']"
8,pagipagi udah optimis banget hari ini gue tertawa sepanjang hari cerita lucu di kantor bikin hidup makin cerah,"gue dah percaya nih sama elu, tolong jangan bikin gue kecewa yaa!",tips biar hari produktif itu adalah tidur yang cukup dan bangun pagi-pagi biar pas jalanin hari tetap semangat!,benci kalo tiba-tiba ngerasa insecure dan ngerasa gak pantes buat siapapun,"tweet ini adalah contoh nyata aspirasi dan masukan masyarakat tidak didengar oleh paslon 02, jika berikutnya tidak ada tindakan/perubahan perihal normalisasi penggunaan gambar ai dalam keperluan kampanye.","['pagipagi', 'udah', 'optimis', 'banget', 'hari', 'ini', 'gue', 'tertawa', 'sepanjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']","['pagipagi', 'udah', 'optimis', 'banget', 'gue', 'tertawa', 'cerita', 'lucu', 'kantor', 'hidup', 'cerah']","['pagipagi', 'sudah', 'optimis', 'banget', 'hari', 'ini', 'saya', 'tertawa', 'sepanjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']","['pagipagi', 'sudah', 'optimis', 'banget', 'hari', 'ini', 'saya', 'tertawa', 'panjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']"
9,gue lagi planning perjalanan baru nih kayaknya bakal seru abis belanja perlengkapan travelling dulu ah,"open donasi yuuk buat beli buku atau mainan anak, nanti kita kasih ke panti asuhan deh!",tes asprak kali ini pasti aku lolos karena aku yakin banget sama jawabanku pas tes tulis,apes banget hari ini gue kena hujan deres pas lagi otw kantor jadinya basah deh baju sama celana gue,"dan setiap aspirasi berhak untuk didengar. bukan jawaban template seperti itu yang ingin kita dengar, pak, melainkan refleksi yang seharusnya bapak tunjukan melalui netralitas.","['gue', 'lagi', 'planning', 'perjalanan', 'baru', 'nih', 'kayaknya', 'bakal', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'dulu', 'ah']","['gue', 'planning', 'perjalanan', 'kayaknya', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'ah']","['saya', 'lagi', 'planning', 'perjalanan', 'baru', 'nih', 'kayaknya', 'bakal', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'dulu', 'ah']","['saya', 'lagi', 'planning', 'jalan', 'baru', 'nih', 'kayak', 'bakal', 'seru', 'abis', 'belanja', 'lengkap', 'travelling', 'dulu', 'ah']"
