,No,Text,Label,tokens,tokens_fdist,normalized,tokens_stemmed
0,1,baru saja kenalan sama orang baru di kafe dan seru banget intinya ngobrolin halhal random itu selalu seru,1,"['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']","['kenalan', 'orang', 'kafe', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'seru']","['baru', 'saja', 'kenalan', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'intinya', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']","['baru', 'saja', 'kenal', 'sama', 'orang', 'baru', 'di', 'kafe', 'dan', 'seru', 'banget', 'inti', 'ngobrolin', 'halhal', 'random', 'itu', 'selalu', 'seru']"
1,2,gak bisa diem di rumah nih pengen banget jalanjalan sore ini ada saran tempat keren ga guys,1,"['gak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'pengen', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'ga', 'guys']","['diem', 'rumah', 'pengen', 'banget', 'jalanjalan', 'sore', 'saran', 'keren', 'guys']","['tidak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'pengen', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'tidak', 'guys']","['tidak', 'bisa', 'diem', 'di', 'rumah', 'nih', 'ken', 'banget', 'jalanjalan', 'sore', 'ini', 'ada', 'saran', 'tempat', 'keren', 'tidak', 'guys']"
2,3,ngecash energi dengan ketemu orang kantor nih seru bangeeett,1,"['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']","['ngecash', 'energi', 'ketemu', 'orang', 'kantor', 'seru', 'bangeeett']","['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']","['ngecash', 'energi', 'dengan', 'ketemu', 'orang', 'kantor', 'nih', 'seru', 'bangeeett']"
3,4,hari ini sibuk banget tapi seneng karena bisa ketemu banyak orang dan bertukar ide teamwork makes the dream work right,1,"['hari', 'ini', 'sibuk', 'banget', 'tapi', 'seneng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['sibuk', 'banget', 'seneng', 'ketemu', 'orang', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['hari', 'ini', 'sibuk', 'banget', 'tetapi', 'seneng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'bertukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']","['hari', 'ini', 'sibuk', 'banget', 'tetapi', 'neng', 'karena', 'bisa', 'ketemu', 'banyak', 'orang', 'dan', 'tukar', 'ide', 'teamwork', 'makes', 'the', 'dream', 'work', 'right']"
4,5,pesta di rumah tetangga bikin hari jadi gaul banget semua ikutan shopping dan ceria abis,1,"['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikutan', 'shopping', 'dan', 'ceria', 'abis']","['pesta', 'rumah', 'tetangga', 'gaul', 'banget', 'ikutan', 'shopping', 'ceria', 'abis']","['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikutan', 'shopping', 'dan', 'ceria', 'abis']","['pesta', 'di', 'rumah', 'tetangga', 'bikin', 'hari', 'jadi', 'gaul', 'banget', 'semua', 'ikut', 'shopping', 'dan', 'ceria', 'abis']"
5,6,ulangtahun adik hari ini seru banget pesta di rumah dengan temanteman makan tertawa dan pelukpelukan,1,"['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']","['ulangtahun', 'adik', 'seru', 'banget', 'pesta', 'rumah', 'temanteman', 'makan', 'tertawa', 'pelukpelukan']","['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']","['ulangtahun', 'adik', 'hari', 'ini', 'seru', 'banget', 'pesta', 'di', 'rumah', 'dengan', 'temanteman', 'makan', 'tertawa', 'dan', 'pelukpelukan']"
6,7,hari ini gue berasa gaul abis dah hang out di cafe keren belanja hobi favorit dan cerita curhat sama temanteman bikin hidup seru bangeettt,1,"['hari', 'ini', 'gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']","['gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'cerita', 'curhat', 'temanteman', 'hidup', 'seru', 'bangeettt']","['hari', 'ini', 'saya', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']","['hari', 'ini', 'saya', 'asa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']"
7,8,hari ini gue kenalan sama teman baru di perayaan alumni cerita tentang hobi favorit dan peluk akrab keren,1,"['hari', 'ini', 'gue', 'kenalan', 'sama', 'teman', 'baru', 'di', 'perayaan', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']","['gue', 'kenalan', 'teman', 'perayaan', 'alumni', 'cerita', 'hobi', 'favorit', 'peluk', 'akrab', 'keren']","['hari', 'ini', 'saya', 'kenalan', 'sama', 'teman', 'baru', 'di', 'perayaan', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']","['hari', 'ini', 'saya', 'kenal', 'sama', 'teman', 'baru', 'di', 'raya', 'alumni', 'cerita', 'tentang', 'hobi', 'favorit', 'dan', 'peluk', 'akrab', 'keren']"
8,9,pagipagi udah optimis banget hari ini gue tertawa sepanjang hari cerita lucu di kantor bikin hidup makin cerah,1,"['pagipagi', 'udah', 'optimis', 'banget', 'hari', 'ini', 'gue', 'tertawa', 'sepanjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']","['pagipagi', 'udah', 'optimis', 'banget', 'gue', 'tertawa', 'cerita', 'lucu', 'kantor', 'hidup', 'cerah']","['pagipagi', 'sudah', 'optimis', 'banget', 'hari', 'ini', 'saya', 'tertawa', 'sepanjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']","['pagipagi', 'sudah', 'optimis', 'banget', 'hari', 'ini', 'saya', 'tertawa', 'panjang', 'hari', 'cerita', 'lucu', 'di', 'kantor', 'bikin', 'hidup', 'makin', 'cerah']"
9,10,gue lagi planning perjalanan baru nih kayaknya bakal seru abis belanja perlengkapan travelling dulu ah,1,"['gue', 'lagi', 'planning', 'perjalanan', 'baru', 'nih', 'kayaknya', 'bakal', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'dulu', 'ah']","['gue', 'planning', 'perjalanan', 'kayaknya', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'ah']","['saya', 'lagi', 'planning', 'perjalanan', 'baru', 'nih', 'kayaknya', 'bakal', 'seru', 'abis', 'belanja', 'perlengkapan', 'travelling', 'dulu', 'ah']","['saya', 'lagi', 'planning', 'jalan', 'baru', 'nih', 'kayak', 'bakal', 'seru', 'abis', 'belanja', 'lengkap', 'travelling', 'dulu', 'ah']"
